Target,Model,MAE,MSE,RMSE,R2,Tipo
Low,BiLSTM,0.005158625077456236,5.02146031067241e-05,0.0070862262951957794,0.9979950189590454,Red Neuronal
High,CNN+LSTM,0.005641143769025803,6.153994763735682e-05,0.00784474012554634,0.997556209564209,Red Neuronal
Close,BiLSTM,0.0062529221177101135,7.332074164878577e-05,0.008562753158230463,0.9970788955688477,Red Neuronal
Close,CNN+LSTM,0.008444801904261112,0.00013051528367213905,0.011424328587367357,0.9948002099990845,Red Neuronal
Open,BiLSTM,0.00812573079019785,0.00013701748684979975,0.011705446888085894,0.9945401549339294,Red Neuronal
High,BiLSTM,0.009602324105799198,0.0001756554702296853,0.013253507846215103,0.9930245280265808,Red Neuronal
Open,CNN+LSTM,0.012476793490350246,0.00025515377637930214,0.015973533622192122,0.9898326396942139,Red Neuronal
Low,CNN+LSTM,0.019254613667726517,0.0005588120548054576,0.023639205883562536,0.9776875972747803,Red Neuronal
Close,ANN,0.01778416335582733,0.000612618459854275,0.024751130476288855,0.9755930304527283,Red Neuronal
Open,SimpleRNN,0.02045200765132904,0.0007521226070821285,0.027424853820615498,0.9700294137001038,Red Neuronal
Low,GRU,0.018581241369247437,0.0008283604402095079,0.028781251540013125,0.9669249653816223,Red Neuronal
Open,ANN,0.024723853915929794,0.0010993516771122813,0.033156472627713,0.9561930298805237,Red Neuronal
Close,LSTM,0.023095207288861275,0.0013773007085546851,0.03711200221700097,0.9451277852058411,Red Neuronal
Close,SimpleRNN,0.02954190969467163,0.001414510770700872,0.03760998232784578,0.9436452984809875,Red Neuronal
Close,GRU,0.025764144957065582,0.0014594000531360507,0.038202094878894415,0.9418569207191467,Red Neuronal
Low,SimpleRNN,0.02946431189775467,0.0014791361754760146,0.03845953946000933,0.9409406185150146,Red Neuronal
Low,ANN,0.03103754296898842,0.0015522633912041783,0.039398773980977866,0.9380207657814026,Red Neuronal
Open,GRU,0.027695057913661003,0.0017030792078003287,0.04126838024202463,0.9321357011795044,Red Neuronal
High,SimpleRNN,0.032240137457847595,0.0017470404272899032,0.041797612698453286,0.9306232333183289,Red Neuronal
Low,LSTM,0.029566576704382896,0.002232760889455676,0.0472520993126832,0.9108496308326721,Red Neuronal
High,GRU,0.030782857909798622,0.002341888379305601,0.04839306127231053,0.907001256942749,Red Neuronal
High,LSTM,0.033382169902324677,0.0027071244549006224,0.052030034162016674,0.8924973607063293,Red Neuronal
Open,LSTM,0.04032958671450615,0.003708088770508766,0.06089407828770189,0.8522400259971619,Red Neuronal
High,ANN,0.05074465274810791,0.004246302414685488,0.06516365869628168,0.831375002861023,Red Neuronal
Open,BayesianRidge,13.428387288366626,413.0942424134429,20.324719983641668,0.9995095872399938,Tradicional
Open,LinearRegression,13.428518466260956,413.10601766511945,20.32500965965624,0.9995095732607777,Tradicional
Open,Ridge,14.36862775322381,445.9921869978225,21.118527102945,0.9994705318135423,Tradicional
High,BayesianRidge,20.637522448713902,901.3897257971755,30.023153162137643,0.9989353930465479,Tradicional
High,LinearRegression,20.638134725156608,901.5893288362861,30.026477129964583,0.998935157300813,Tradicional
Open,Lasso,21.704015927282132,906.5614900262855,30.109159570241836,0.9989237581239534,Tradicional
High,Ridge,21.330086446703618,938.2355896773664,30.630631558578195,0.9988918753962239,Tradicional
Low,BayesianRidge,24.137260663952365,1221.1875721366741,34.94549430379651,0.9985432469257305,Tradicional
Low,LinearRegression,24.139602057605607,1221.6866618139138,34.952634547540384,0.9985426515623005,Tradicional
Low,Ridge,24.742867859595325,1237.3103115074405,35.17542198051703,0.9985240141308022,Tradicional
High,Lasso,26.641994376418104,1400.1849028370045,37.41904465425333,0.9983462795935901,Tradicional
Low,Lasso,30.009799295195588,1688.980784201574,41.097211392034545,0.9979852170085036,Tradicional
Close,BayesianRidge,30.1870867380618,1866.7488550561159,43.20588912470285,0.9977852165911806,Tradicional
Close,LinearRegression,30.186009914165002,1867.363544377122,43.21300202921711,0.997784487299875,Tradicional
Close,Ridge,30.759208416402803,1888.112593716291,43.452417581951536,0.9977598698211495,Tradicional
Close,Lasso,34.97861074691236,2309.334367975157,48.05553420757236,0.9972601159337773,Tradicional
Low,RandomForest,1156.2779299854014,2153095.5008764374,1467.3430072332908,-1.5684248363334157,Tradicional
Open,RandomForest,1168.0993555311013,2190319.1948626046,1479.9727007153222,-1.6002794794994353,Tradicional
Close,RandomForest,1174.9423574534665,2205088.0480877943,1484.9538875291025,-1.616202179882412,Tradicional
High,RandomForest,1185.8940635003946,2238814.5309182033,1496.2668648734434,-1.6442031109211053,Tradicional
Low,HistGradientBoosting,1191.2649675468945,2240418.4319570386,1496.8027364876905,-1.6725922478010222,Tradicional
Low,XGBoost,1198.6563720703125,2262828.0,1504.2699225870335,-1.699324369430542,Tradicional
Open,XGBoost,1201.73046875,2274507.5,1508.147041902745,-1.7002248764038086,Tradicional
Open,HistGradientBoosting,1205.0242015200997,2282676.8733719117,1510.8530283822818,-1.7099236705220235,Tradicional
Close,HistGradientBoosting,1205.8287042210538,2283065.281173557,1510.9815621553948,-1.708717400468311,Tradicional
Close,XGBoost,1210.9871826171875,2297241.5,1515.6653654418576,-1.725536584854126,Tradicional
High,HistGradientBoosting,1216.192615233398,2315288.0958667053,1521.6070767010467,-1.7345239640098709,Tradicional
High,XGBoost,1217.9876708984375,2321407.25,1523.6165035861222,-1.741750717163086,Tradicional
Low,DecisionTree,1232.1381540626505,2345131.4017430367,1531.3821867003144,-1.7975042139330912,Tradicional
Open,DecisionTree,1247.1859541338051,2389509.2220247635,1545.8037462837135,-1.8367517440741823,Tradicional
Close,DecisionTree,1248.28781393228,2391594.736656696,1546.4781720595658,-1.8374809653802253,Tradicional
