Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1/2/1990,359.6900024,359.6900024,351.980011,353.3999939,162070000
1/3/1990,358.7600098,360.5899963,357.8900146,359.6900024,192330000
1/4/1990,355.6700134,358.7600098,352.8900146,358.7600098,177000000
1/5/1990,352.2000122,355.6700134,351.3500061,355.6700134,158530000
1/8/1990,353.7900085,354.2399902,350.5400085,352.2000122,140110000
1/9/1990,349.6199951,354.1700134,349.6099854,353.8299866,155210000
1/10/1990,347.3099976,349.6199951,344.3200073,349.6199951,175990000
1/11/1990,348.5299988,350.1400146,347.3099976,347.3099976,154390000
1/12/1990,339.9299927,348.5299988,339.4899902,348.5299988,183880000
1/15/1990,337,339.9400024,336.5700073,339.9299927,140590000
1/16/1990,340.75,340.75,333.3699951,337,186070000
1/17/1990,337.3999939,342.0100098,336.2600098,340.769989,170470000
1/18/1990,338.1900024,338.3800049,333.980011,337.3999939,178590000
1/19/1990,339.1499939,340.480011,338.1900024,338.1900024,185590000
1/22/1990,330.3800049,339.9599915,330.2799988,339.1400146,148380000
1/23/1990,331.6099854,332.7600098,328.6700134,330.3800049,179300000
1/24/1990,330.2600098,331.7099915,324.1700134,331.6099854,207830000
1/25/1990,326.0799866,332.3299866,325.3299866,330.2600098,172270000
1/26/1990,325.7999878,328.5799866,321.4400024,326.0899963,198190000
1/29/1990,325.2000122,327.3099976,321.7900085,325.7999878,150770000
1/30/1990,322.980011,325.730011,319.8299866,325.2000122,186030000
1/31/1990,329.0799866,329.0799866,322.980011,322.980011,189660000
2/1/1990,328.7900085,329.8599854,327.7600098,329.0799866,154580000
2/2/1990,330.9200134,332.1000061,328.0899963,328.7900085,164400000
2/5/1990,331.8500061,332.1600037,330.4500122,330.9200134,130950000
2/6/1990,329.6600037,331.8599854,328.2000122,331.8500061,134070000
2/7/1990,333.75,333.7600098,326.5499878,329.6600037,186710000
2/8/1990,332.9599915,336.0899963,332,333.75,176240000
2/9/1990,333.6199951,334.6000061,332.4100037,333.019989,146910000
2/12/1990,330.0799866,333.6199951,329.9700012,333.6199951,118390000
2/13/1990,331.019989,331.6099854,327.9200134,330.0799866,144490000
2/14/1990,332.0100098,333.2000122,330.6400146,331.019989,138530000
2/15/1990,334.8900146,335.2099915,331.6099854,332.0100098,174620000
2/16/1990,332.7200012,335.6400146,332.4200134,334.8900146,166840000
2/20/1990,327.9899902,332.7200012,326.2600098,332.7200012,147300000
2/21/1990,327.6700134,328.1700134,324.4700012,327.9100037,159240000
2/22/1990,325.7000122,330.980011,325.7000122,327.6700134,184320000
2/23/1990,324.1499939,326.1499939,322.1000061,325.7000122,148490000
2/26/1990,328.6700134,328.6700134,323.980011,324.1600037,148900000
2/27/1990,330.2600098,331.9400024,328.4700012,328.6799927,152590000
