Target,Model,MAE,MSE,RMSE,R2,Tipo
Low,BiLSTM,0.005113395396620035,5.0802816986106336e-05,0.007127609486083418,0.9979715347290039,Red Neuronal
Open,BiLSTM,0.005131561774760485,5.3052437579026446e-05,0.0072837104266319135,0.9978859424591064,Red Neuronal
Low,ANN,0.005796901416033506,6.62177408230491e-05,0.008137428391270126,0.9973560571670532,Red Neuronal
Close,BiLSTM,0.006742433179169893,8.469918248010799e-05,0.009203215877078402,0.996625542640686,Red Neuronal
Close,ANN,0.0068940287455916405,9.218111517839134e-05,0.009601099685889703,0.9963274598121643,Red Neuronal
High,BiLSTM,0.00854349136352539,0.0001352678518742323,0.01163047083630892,0.994628369808197,Red Neuronal
Open,CNN+LSTM,0.015379250980913639,0.00038807265809737146,0.019699559845269932,0.9845360517501831,Red Neuronal
Low,CNN+LSTM,0.020413320511579514,0.0006338171660900116,0.025175725731148478,0.9746927618980408,Red Neuronal
High,CNN+LSTM,0.023822203278541565,0.0008586563053540885,0.029302837837897007,0.9659019112586975,Red Neuronal
Open,SimpleRNN,0.022783370688557625,0.0009624346275813878,0.031023130525164408,0.9616488814353943,Red Neuronal
Open,GRU,0.021337877959012985,0.0010517359478399158,0.03243047868656761,0.9580904245376587,Red Neuronal
Low,SimpleRNN,0.025955528020858765,0.0010889270342886448,0.03299889444039974,0.9565209746360779,Red Neuronal
Close,SimpleRNN,0.02640571817755699,0.0011377899209037423,0.033731141707682266,0.9546700119972229,Red Neuronal
Close,CNN+LSTM,0.025848574936389923,0.0011694743297994137,0.03419757783527093,0.9534076452255249,Red Neuronal
Low,GRU,0.021427078172564507,0.0013048083055764437,0.03612213041303688,0.94790118932724,Red Neuronal
High,SimpleRNN,0.028981700539588928,0.0014434843324124813,0.037993214294298416,0.9426777958869934,Red Neuronal
Close,GRU,0.0316680409014225,0.002295098965987563,0.047907191171968774,0.9085623025894165,Red Neuronal
High,GRU,0.033232226967811584,0.0023054503835737705,0.048015105785302305,0.9084482192993164,Red Neuronal
High,ANN,0.03419359028339386,0.0024843032006174326,0.04984278484010933,0.9013457894325256,Red Neuronal
Low,LSTM,0.03449825569987297,0.0029491260647773743,0.054305856634228454,0.8822463750839233,Red Neuronal
Close,LSTM,0.037011902779340744,0.003283800557255745,0.057304454951214265,0.8691720366477966,Red Neuronal
Open,LSTM,0.03862534835934639,0.0032968393061310053,0.057418109565981056,0.8686275482177734,Red Neuronal
High,LSTM,0.03997034206986427,0.003723254892975092,0.06101847993005965,0.852145791053772,Red Neuronal
Open,ANN,0.058348458260297775,0.005883669480681419,0.07670508119206589,0.765547513961792,Red Neuronal
Open,BayesianRidge,13.428387288366626,413.0942424134429,20.324719983641668,0.9995095872399938,Tradicional
Open,LinearRegression,13.428518466260956,413.10601766511945,20.32500965965624,0.9995095732607777,Tradicional
Open,Ridge,14.36862775322381,445.9921869978225,21.118527102945,0.9994705318135423,Tradicional
High,BayesianRidge,20.637522448713902,901.3897257971755,30.023153162137643,0.9989353930465479,Tradicional
High,LinearRegression,20.638134725156608,901.5893288362861,30.026477129964583,0.998935157300813,Tradicional
Open,Lasso,21.704015927282132,906.5614900262855,30.109159570241836,0.9989237581239534,Tradicional
High,Ridge,21.330086446703618,938.2355896773664,30.630631558578195,0.9988918753962239,Tradicional
Low,BayesianRidge,24.137260663952365,1221.1875721366741,34.94549430379651,0.9985432469257305,Tradicional
Low,LinearRegression,24.139602057605607,1221.6866618139138,34.952634547540384,0.9985426515623005,Tradicional
Low,Ridge,24.742867859595325,1237.3103115074405,35.17542198051703,0.9985240141308022,Tradicional
High,Lasso,26.641994376418104,1400.1849028370045,37.41904465425333,0.9983462795935901,Tradicional
Low,Lasso,30.009799295195588,1688.980784201574,41.097211392034545,0.9979852170085036,Tradicional
Close,BayesianRidge,30.1870867380618,1866.7488550561159,43.20588912470285,0.9977852165911806,Tradicional
Close,LinearRegression,30.186009914165002,1867.363544377122,43.21300202921711,0.997784487299875,Tradicional
Close,Ridge,30.759208416402803,1888.112593716291,43.452417581951536,0.9977598698211495,Tradicional
Close,Lasso,34.97861074691236,2309.334367975157,48.05553420757236,0.9972601159337773,Tradicional
Low,RandomForest,1156.2779299854014,2153095.5008764374,1467.3430072332908,-1.5684248363334157,Tradicional
Open,RandomForest,1168.0993555311013,2190319.1948626046,1479.9727007153222,-1.6002794794994353,Tradicional
Close,RandomForest,1174.9423574534665,2205088.0480877943,1484.9538875291025,-1.616202179882412,Tradicional
High,RandomForest,1185.8940635003946,2238814.5309182033,1496.2668648734434,-1.6442031109211053,Tradicional
Low,HistGradientBoosting,1191.2649675468945,2240418.4319570386,1496.8027364876905,-1.6725922478010222,Tradicional
Low,XGBoost,1198.6563720703125,2262828.0,1504.2699225870335,-1.699324369430542,Tradicional
Open,XGBoost,1201.73046875,2274507.5,1508.147041902745,-1.7002248764038086,Tradicional
Open,HistGradientBoosting,1205.0242015200997,2282676.8733719117,1510.8530283822818,-1.7099236705220235,Tradicional
Close,HistGradientBoosting,1205.8287042210538,2283065.281173557,1510.9815621553948,-1.708717400468311,Tradicional
Close,XGBoost,1210.9871826171875,2297241.5,1515.6653654418576,-1.725536584854126,Tradicional
High,HistGradientBoosting,1216.192615233398,2315288.0958667053,1521.6070767010467,-1.7345239640098709,Tradicional
High,XGBoost,1217.9876708984375,2321407.25,1523.6165035861222,-1.741750717163086,Tradicional
Low,DecisionTree,1232.1381540626505,2345131.4017430367,1531.3821867003144,-1.7975042139330912,Tradicional
Open,DecisionTree,1247.1859541338051,2389509.2220247635,1545.8037462837135,-1.8367517440741823,Tradicional
Close,DecisionTree,1248.28781393228,2391594.736656696,1546.4781720595658,-1.8374809653802253,Tradicional
